generator,ruleset,seed,budget,branch_coverage,mutation_score,time_sec
ablation,usopen,5,20,0.6818181818181819,0.36038961038961037,9.57
ablation,usopen,6,20,0.7272727272727273,0.41233766233766234,12.751
ablation,usopen,7,20,0.6818181818181819,0.38636363636363635,13.631
ablation,usopen,8,20,0.7575757575757575,0.37987012987012986,9.891
ablation,usopen,9,20,0.6818181818181819,0.37012987012987014,9.457
ablation,usopen,10,20,0.7575757575757575,0.38636363636363635,10.572
ablation,usopen,11,20,0.6818181818181819,0.37337662337662336,9.836
ablation,usopen,12,20,0.7272727272727273,0.37337662337662336,12.299
ablation,usopen,13,20,0.7272727272727273,0.37012987012987014,11.501
ablation,usopen,14,20,0.7272727272727273,0.39935064935064934,9.54
ablation,usopen,15,20,0.5303030303030303,0.3409090909090909,10.741
ablation,usopen,16,20,0.5303030303030303,0.33116883116883117,12.049
ablation,usopen,17,20,0.7272727272727273,0.3961038961038961,10.291
ablation,usopen,18,20,0.7121212121212122,0.4025974025974026,11.031
ablation,usopen,19,20,0.6666666666666667,0.36688311688311687,12.763
ablation,usopen,20,20,0.5303030303030303,0.3409090909090909,10.499
ablation,usopen,21,20,0.6818181818181819,0.37662337662337664,9.537
ablation,usopen,22,20,0.7575757575757575,0.39935064935064934,11.833
ablation,usopen,23,20,0.6818181818181819,0.38961038961038963,11.588
ablation,usopen,24,20,0.5303030303030303,0.3474025974025974,9.936
ablation,usopen,25,20,0.6818181818181819,0.3961038961038961,12.133
ablation,usopen,26,20,0.696969696969697,0.41233766233766234,10.843
ablation,usopen,27,20,0.7575757575757575,0.43506493506493504,10.746
ablation,usopen,28,20,0.6818181818181819,0.38636363636363635,11.47
ablation,usopen,29,20,0.5151515151515151,0.32142857142857145,11.07
ablation,ausopen,0,20,0.7272727272727273,0.4025974025974026,10.442
ablation,ausopen,1,20,0.7272727272727273,0.3961038961038961,10.777
ablation,ausopen,2,20,0.5303030303030303,0.34415584415584416,10.495
ablation,ausopen,3,20,0.7272727272727273,0.36688311688311687,10.775
ablation,ausopen,4,20,0.6818181818181819,0.37987012987012986,10.301
ablation,ausopen,5,20,0.6818181818181819,0.36038961038961037,10.46
ablation,ausopen,6,20,0.7272727272727273,0.41233766233766234,9.394
ablation,ausopen,7,20,0.6818181818181819,0.38636363636363635,11.032
ablation,ausopen,8,20,0.7727272727272727,0.37987012987012986,10.314
ablation,ausopen,9,20,0.6818181818181819,0.37012987012987014,9.505
ablation,ausopen,10,20,0.7727272727272727,0.37987012987012986,10.295
ablation,ausopen,11,20,0.6818181818181819,0.37337662337662336,10.333
ablation,ausopen,12,20,0.7272727272727273,0.37337662337662336,11.749
ablation,ausopen,13,20,0.7272727272727273,0.37012987012987014,10.022
ablation,ausopen,14,20,0.7272727272727273,0.39935064935064934,10.03
ablation,ausopen,15,20,0.5303030303030303,0.3409090909090909,10.686
ablation,ausopen,16,20,0.5303030303030303,0.33116883116883117,11.067
ablation,ausopen,17,20,0.7272727272727273,0.3961038961038961,9.833
ablation,ausopen,18,20,0.7272727272727273,0.4025974025974026,11.485
ablation,ausopen,19,20,0.6666666666666667,0.36688311688311687,10.249
ablation,ausopen,20,20,0.5303030303030303,0.3409090909090909,10.106
ablation,ausopen,21,20,0.6818181818181819,0.37662337662337664,10.159
ablation,ausopen,22,20,0.7727272727272727,0.39285714285714285,9.911
ablation,ausopen,23,20,0.6818181818181819,0.38961038961038963,10.06
ablation,ausopen,24,20,0.5303030303030303,0.3474025974025974,10.37
ablation,ausopen,25,20,0.6818181818181819,0.3961038961038961,9.954
ablation,ausopen,26,20,0.7121212121212122,0.41233766233766234,10.368
ablation,ausopen,27,20,0.7727272727272727,0.42857142857142855,10.378
ablation,ausopen,28,20,0.6818181818181819,0.38311688311688313,10.001
ablation,ausopen,29,20,0.5151515151515151,0.32142857142857145,10.508
random,wimbledon,0,60,0.7727272727272727,0.4383116883116883,16.837
random,wimbledon,1,60,0.7727272727272727,0.4383116883116883,19.217
random,wimbledon,2,60,0.7727272727272727,0.43506493506493504,17.764
random,wimbledon,3,60,0.7727272727272727,0.4155844155844156,17.773
random,wimbledon,4,60,0.7727272727272727,0.4448051948051948,17.295
random,wimbledon,5,60,0.7727272727272727,0.42857142857142855,16.766
random,wimbledon,6,60,0.7272727272727273,0.4512987012987013,17.528
random,wimbledon,7,60,0.7272727272727273,0.44805194805194803,16.877
random,wimbledon,8,60,0.7727272727272727,0.4448051948051948,17.464
random,wimbledon,9,60,0.7727272727272727,0.42857142857142855,17.303
random,wimbledon,10,60,0.7727272727272727,0.42207792207792205,17.707
random,wimbledon,11,60,0.7727272727272727,0.44805194805194803,17.395
random,wimbledon,12,60,0.7727272727272727,0.4448051948051948,19.872
random,wimbledon,13,60,0.7727272727272727,0.4090909090909091,20.194
random,wimbledon,14,60,0.7727272727272727,0.42857142857142855,19.025
random,wimbledon,15,60,0.7727272727272727,0.41883116883116883,17.837
random,wimbledon,16,60,0.7727272727272727,0.4253246753246753,17.993
random,wimbledon,17,60,0.7727272727272727,0.42857142857142855,18.035
random,wimbledon,18,60,0.7727272727272727,0.4155844155844156,19.362
random,wimbledon,19,60,0.7727272727272727,0.44805194805194803,19.076
random,wimbledon,20,60,0.7727272727272727,0.4090909090909091,15.753
random,wimbledon,21,60,0.7727272727272727,0.43506493506493504,17.315
random,wimbledon,22,60,0.7727272727272727,0.4318181818181818,15.759
random,wimbledon,23,60,0.7727272727272727,0.44805194805194803,17.389
random,wimbledon,24,60,0.7727272727272727,0.43506493506493504,16.095
random,wimbledon,25,60,0.7272727272727273,0.4318181818181818,19.722
random,wimbledon,26,60,0.7727272727272727,0.44805194805194803,16.269
random,wimbledon,27,60,0.7727272727272727,0.42857142857142855,15.53
random,wimbledon,28,60,0.7272727272727273,0.44805194805194803,21.436
random,wimbledon,29,60,0.7727272727272727,0.44805194805194803,18.325
random,usopen,0,60,0.7575757575757575,0.4383116883116883,15.769
random,usopen,1,60,0.7575757575757575,0.4383116883116883,16.536
random,usopen,2,60,0.7575757575757575,0.43506493506493504,16.186
random,usopen,3,60,0.7575757575757575,0.4155844155844156,16.34
random,usopen,4,60,0.7575757575757575,0.4512987012987013,16.402
random,usopen,5,60,0.7575757575757575,0.42857142857142855,16.048
random,usopen,6,60,0.7272727272727273,0.4512987012987013,15.582
random,usopen,7,60,0.7272727272727273,0.44805194805194803,16.595
random,usopen,8,60,0.7575757575757575,0.4448051948051948,16.022
random,usopen,9,60,0.7575757575757575,0.42857142857142855,15.718
random,usopen,10,60,0.7575757575757575,0.42207792207792205,18.063
random,usopen,11,60,0.7575757575757575,0.4512987012987013,18.824
random,usopen,12,60,0.7575757575757575,0.4448051948051948,17.825
random,usopen,13,60,0.7575757575757575,0.4155844155844156,15.793
random,usopen,14,60,0.7575757575757575,0.42207792207792205,18.046
random,usopen,15,60,0.7575757575757575,0.42207792207792205,15.356
random,usopen,16,60,0.7575757575757575,0.4253246753246753,15.895
random,usopen,17,60,0.7575757575757575,0.42857142857142855,15.538
random,usopen,18,60,0.7575757575757575,0.4155844155844156,16.046
random,usopen,19,60,0.7575757575757575,0.4512987012987013,15.783
random,usopen,20,60,0.7575757575757575,0.4090909090909091,16.122
random,usopen,21,60,0.7575757575757575,0.44155844155844154,16.852
random,usopen,22,60,0.7575757575757575,0.4318181818181818,16.258
random,usopen,23,60,0.7575757575757575,0.44805194805194803,15.567
random,usopen,24,60,0.7575757575757575,0.43506493506493504,15.49
random,usopen,25,60,0.7272727272727273,0.4318181818181818,16.497
random,usopen,26,60,0.7575757575757575,0.43506493506493504,16.556
random,usopen,27,60,0.7575757575757575,0.43506493506493504,15.368
random,usopen,28,60,0.7272727272727273,0.44805194805194803,17.756
random,usopen,29,60,0.7575757575757575,0.4448051948051948,16.269
random,ausopen,0,60,0.7727272727272727,0.4383116883116883,16.656
random,ausopen,1,60,0.7727272727272727,0.4383116883116883,15.747
random,ausopen,2,60,0.7727272727272727,0.43506493506493504,17.656
random,ausopen,3,60,0.7727272727272727,0.4155844155844156,15.705
random,ausopen,4,60,0.7727272727272727,0.4448051948051948,16.655
random,ausopen,5,60,0.7727272727272727,0.42857142857142855,22.425
random,ausopen,6,60,0.7272727272727273,0.4512987012987013,16.098
random,ausopen,7,60,0.7272727272727273,0.44805194805194803,17.636
random,ausopen,8,60,0.7727272727272727,0.4448051948051948,17.134
random,ausopen,9,60,0.7727272727272727,0.42857142857142855,16.831
random,ausopen,10,60,0.7727272727272727,0.42207792207792205,16.885
random,ausopen,11,60,0.7727272727272727,0.44805194805194803,16.653
random,ausopen,12,60,0.7727272727272727,0.4448051948051948,16.491
random,ausopen,13,60,0.7727272727272727,0.4090909090909091,15.772
random,ausopen,14,60,0.7727272727272727,0.42857142857142855,16.563
random,ausopen,15,60,0.7727272727272727,0.41883116883116883,16.072
random,ausopen,16,60,0.7727272727272727,0.4253246753246753,17.009
random,ausopen,17,60,0.7727272727272727,0.42857142857142855,16.151
random,ausopen,18,60,0.7727272727272727,0.4155844155844156,17.263
random,ausopen,19,60,0.7727272727272727,0.44805194805194803,16.529
random,ausopen,20,60,0.7727272727272727,0.4090909090909091,15.8
random,ausopen,21,60,0.7727272727272727,0.43506493506493504,16.845
random,ausopen,22,60,0.7727272727272727,0.4318181818181818,16.644
random,ausopen,23,60,0.7727272727272727,0.44805194805194803,16.225
random,ausopen,24,60,0.7727272727272727,0.43506493506493504,16.529
random,ausopen,25,60,0.7272727272727273,0.4318181818181818,17.261
random,ausopen,26,60,0.7727272727272727,0.44805194805194803,17.248
random,ausopen,27,60,0.7727272727272727,0.42857142857142855,16.024
random,ausopen,28,60,0.7272727272727273,0.44805194805194803,16.631
random,ausopen,29,60,0.7727272727272727,0.44805194805194803,17.187
search,wimbledon,0,60,0.7272727272727273,0.4448051948051948,19.904
search,wimbledon,1,60,0.7272727272727273,0.4448051948051948,20.522
search,wimbledon,2,60,0.7727272727272727,0.4448051948051948,20.828
search,wimbledon,3,60,0.7727272727272727,0.4155844155844156,21.744
search,wimbledon,4,60,0.6818181818181819,0.40584415584415584,21.082
search,wimbledon,5,60,0.6818181818181819,0.4090909090909091,21.503
search,wimbledon,6,60,0.7272727272727273,0.44805194805194803,21.053
search,wimbledon,7,60,0.7272727272727273,0.42207792207792205,21.277
search,wimbledon,8,60,0.7727272727272727,0.44805194805194803,21.076
search,wimbledon,9,60,0.7272727272727273,0.41883116883116883,19.482
search,wimbledon,10,60,0.7727272727272727,0.44155844155844154,22.299
search,wimbledon,11,60,0.7272727272727273,0.4155844155844156,20.66
search,wimbledon,12,60,0.7727272727272727,0.43506493506493504,21.704
search,wimbledon,13,60,0.7272727272727273,0.42207792207792205,24.616
search,wimbledon,14,60,0.7727272727272727,0.4448051948051948,21.671
search,wimbledon,15,60,0.7575757575757575,0.40584415584415584,22.255
search,wimbledon,16,60,0.7272727272727273,0.39935064935064934,20.167
search,wimbledon,17,60,0.7727272727272727,0.4448051948051948,21.458
search,wimbledon,18,60,0.7272727272727273,0.42207792207792205,23.038
search,wimbledon,19,60,0.7272727272727273,0.4383116883116883,21.327
search,wimbledon,20,60,0.7121212121212122,0.42857142857142855,21.376
search,wimbledon,21,60,0.7727272727272727,0.4318181818181818,21.841
search,wimbledon,22,60,0.7727272727272727,0.43506493506493504,20.992
search,wimbledon,23,60,0.6818181818181819,0.41883116883116883,21.148
search,wimbledon,24,60,0.7727272727272727,0.4253246753246753,19.972
search,wimbledon,25,60,0.7272727272727273,0.4090909090909091,20.201
search,wimbledon,26,60,0.7272727272727273,0.4253246753246753,20.528
search,wimbledon,27,60,0.7727272727272727,0.44155844155844154,24.796
search,wimbledon,28,60,0.7727272727272727,0.4383116883116883,19.897
search,wimbledon,29,60,0.7121212121212122,0.40584415584415584,19.9
search,usopen,0,60,0.7272727272727273,0.4448051948051948,18.879
search,usopen,1,60,0.7272727272727273,0.4448051948051948,20.06
search,usopen,2,60,0.7575757575757575,0.4512987012987013,19.173
search,usopen,3,60,0.7575757575757575,0.4090909090909091,20.019
search,usopen,4,60,0.6818181818181819,0.40584415584415584,19.716
search,usopen,5,60,0.6818181818181819,0.4090909090909091,20.205
search,usopen,6,60,0.7272727272727273,0.44805194805194803,19.949
search,usopen,7,60,0.7272727272727273,0.42207792207792205,19.859
search,usopen,8,60,0.7575757575757575,0.44805194805194803,19.851
search,usopen,9,60,0.7272727272727273,0.41883116883116883,18.897
search,usopen,10,60,0.7575757575757575,0.44805194805194803,20.393
search,usopen,11,60,0.7272727272727273,0.4155844155844156,20.03
